id,rider_age,rider_rating,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,order_date,order_time,pickup_time,weather,traffic_density,vehicle_condition,order_type,vehicle_type,num_orders,is_festival,city,delivery_time
0x2d96,36,4.9,12.978453,77.643685,13.068453,77.733685,18-03-2022,22:40,22:50,clear_sky,low,1,Snack,scooter,1,No,Metropolitian,27
0x7f86,30,5,19.1093,72.825451,19.1193,72.835451,2022.3.1,11:25 AM,11:30,clear_sky,high,2,Drinks,scooter,1,No,,17
0xcab2,23,4.8,19.12663,72.829976,19.13663,72.839976,11.Mar.22,9:15,9:25,sandstorm,low,1,Snack,scooter,1,No,Metropolitian,15
0x860f,39,4.4,19.874733,75.353942,19.944733,75.423942,14-02-2022,7:35 PM,19:40,storm,jam,2,Drinks,scooter,,No,Metropolitian,36
0xc0e3,27,4.8,17.429585,78.392621,17.499585,78.462621,6.Apr.22,20:40,8:45 PM,clear_sky,jam,2,Meal,scooter,0,No,Metropolitian,20
0x2c52,35,4.8,23.333017,85.3172,23.413017,85.3972,12.Mar.22,17:20,17:30,overcast,medium,1,Meal,motorcycle,1,No,Metropolitian,44
0x2e86,29,3.7,17.428294,78.404423,17.498294,78.474423,23-03-2022,19:55,20:10,high_wind,jam,2,Meal,scooter,2,Yes,Metropolitian,44
0x3449,40,4.9,18.55144,73.804855,18.63144,73.884855,14-03-2022,07:10PM,19:25,sandstorm,jam,1,Buffet,motorcycle,1,No,Metropolitian,27
0xab43,31,4.3,17.438263,78.397865,17.568263,78.527865,2022.3.4,17:35,17:45,storm,medium,2,Meal,motorcycle,1,No,Metropolitian,33
0x40ae,32,3.5,12.325461,76.632278,12.395461,76.702278,8.Mar.22,05:10PM,05:15PM,storm,medium,1,Meal,motorcycle,1,No,,34
0xa28c,21,5,18.546947,73.900626,18.586947,73.940626,24-03-2022,14:20,2:30 PM,overcast,high,2,Snack,scooter,0,No,Metropolitian,27
0x46c7,26,4.6,22.751857,75.866699,22.761857,75.876699,7.Mar.22,11:45,11:50 AM,foggy,high,0,Snack,motorcycle,1,No,Urban,20
0xa7dc,24,4.9,21.186884,72.793616,21.216884,72.823616,2022.3.15,5:15 PM,5:30 PM,foggy,medium,0,Buffet,motorcycle,1,X,Metropolitian,28
0xf6f1,26,4.6,-26.472001,80.354002,26.582001,80.464002,2022.2.18,17:35,17:50,overcast,medium,1,Buffet,motorcycle,0,No,Metropolitian,25
0x70fd,,,18.530963,73.828972,18.600963,73.898972,29.Mar.22,,07:25PM,,,3,Meal,e_scooter,1,No,Metropolitian,26
0x5449,21,4.9,26.469003,80.316344,26.579003,80.426344,16-02-2022,18:25,18:40,storm,medium,1,Buffet,motorcycle,1,No,Metropolitian,26
